id,sport_id,time,time_status,league,home,away,ss,scores
"""10687514""","""92""","""1758101400""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""814050"",""name"":""Michal Oracz"",""image_id"":0,""cc"":null}","{""id"":""1149105"",""name"":""Grzegorz Jurowicz"",""image_id"":0,""cc"":null}","""3-0""","{""1"":{""home"":""11"",""away"":""1""},""2"":{""home"":""11"",""away"":""5""},""3"":{""home"":""11"",""away"":""9""}}"
"""10681662""","""92""","""1758101400""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""314370"",""name"":""Bartosz Czerwinski"",""image_id"":0,""cc"":null}","{""id"":""770866"",""name"":""Jakub Kwapis"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""6"",""away"":""11""},""2"":{""home"":""6"",""away"":""11""},""3"":{""home"":""11"",""away"":""3""},""4"":{""home"":""6"",""away"":""11""}}"
"""10683775""","""92""","""1758101100""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""678402"",""name"":""Arkadiusz Mugowski"",""image_id"":0,""cc"":null}","{""id"":""728442"",""name"":""Jakub Zochniak"",""image_id"":0,""cc"":null}","""1-3""","{""1"":{""home"":""13"",""away"":""11""},""2"":{""home"":""9"",""away"":""11""},""3"":{""home"":""9"",""away"":""11""},""4"":{""home"":""17"",""away"":""19""}}"
"""10685498""","""92""","""1758100800""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""810081"",""name"":""Krzysztof Kotyl"",""image_id"":0,""cc"":null}","{""id"":""314240"",""name"":""Michal Skorski"",""image_id"":0,""cc"":null}","""3-1""","{""1"":{""home"":""12"",""away"":""14""},""2"":{""home"":""11"",""away"":""9""},""3"":{""home"":""11"",""away"":""8""},""4"":{""home"":""11"",""away"":""7""}}"
"""10681617""","""92""","""1758100200""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""252266"",""name"":""Mateusz Golebiowski"",""image_id"":0,""cc"":""in""}","{""id"":""314349"",""name"":""Patryk Lewandowski"",""image_id"":0,""cc"":""pl""}","""3-0""","{""1"":{""home"":""11"",""away"":""6""},""2"":{""home"":""12"",""away"":""10""},""3"":{""home"":""11"",""away"":""7""}}"
"""10687381""","""92""","""1758099900""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""782760"",""name"":""Oskar Jadach"",""image_id"":0,""cc"":null}","{""id"":""929675"",""name"":""Boguslaw Madej"",""image_id"":0,""cc"":null}","""0-3""","{""1"":{""home"":""8"",""away"":""11""},""2"":{""home"":""6"",""away"":""11""},""3"":{""home"":""11"",""away"":""13""}}"
"""10681670""","""92""","""1758099900""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""1044428"",""name"":""Karol Strowski"",""image_id"":0,""cc"":null}","{""id"":""676448"",""name"":""Adrian Spychala"",""image_id"":0,""cc"":null}","""0-3""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""8"",""away"":""11""},""3"":{""home"":""5"",""away"":""11""}}"
"""10687373""","""92""","""1758099600""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""942584"",""name"":""Jacek Przewlocki"",""image_id"":0,""cc"":null}","{""id"":""823909"",""name"":""Wojciech Iwasyszyn"",""image_id"":0,""cc"":null}","""3-2""","{""1"":{""home"":""9"",""away"":""11""},""2"":{""home"":""11"",""away"":""5""},""3"":{""home"":""8"",""away"":""11""},""4"":{""home"":""11"",""away"":""5""},""5"":{""home"":""11"",""away"":""5""}}"
"""10687370""","""92""","""1758099600""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""688986"",""name"":""Szymon Radlo"",""image_id"":0,""cc"":null}","{""id"":""762910"",""name"":""Kamil Rudomina"",""image_id"":0,""cc"":null}","""3-2""","{""1"":{""home"":""7"",""away"":""11""},""2"":{""home"":""12"",""away"":""10""},""3"":{""home"":""4"",""away"":""11""},""4"":{""home"":""11"",""away"":""7""},""5"":{""home"":""11"",""away"":""9""}}"
"""10681645""","""92""","""1758099000""","""3""","{""id"":""29128"",""name"":""TT Elite Series"",""cc"":null}","{""id"":""184748"",""name"":""Kacper Petas"",""image_id"":0,""cc"":null}","{""id"":""1013499"",""name"":""Maciej Nowalinski"",""image_id"":0,""cc"":null}","""3-0""","{""1"":{""home"":""11"",""away"":""4""},""2"":{""home"":""11"",""away"":""8""},""3"":{""home"":""11"",""away"":""9""}}"
